Workstream ID,Workstream Title,Task ID,Task Title,Rationale,Deliverables,Acceptance Criteria,Priority,Phase,Missing Features,Dependencies,Risks/Mitigations,Unnamed: 12
A,Headless & Determinism,A1,Repository + build sanity,Ensure every dev can build/run starter consistently,maturin develop --release works on macOS/Linux/Windows; toolchains documented,Running `python -m examples.triangle` produces triangle.png; versions pinned,High,MVP,No,None,Toolchain drift → pin Rust/pyo3/wgpu minors,
A,Headless & Determinism,A2,Deterministic render pipeline setup,Eliminate non-determinism in baseline pipeline,No MSAA; fixed clear color/viewport/scissor; sRGB target,Repeated runs yield identical PNG bytes (hash match),High,MVP,No,A1,Driver variability → lock formats and state,
A,Headless & Determinism,A3,Shader & geometry determinism,Stabilize exact fragment coverage,Canonical triangle (no uniforms); linear interpolation,Edge pixels stable across runs,High,MVP,No,A2,"Degenerate edges → use CCW, cull back face",
A,Headless & Determinism,A4,Minimal Python API (spike),Expose minimal API for spike,"Renderer(width,height); render_triangle_rgba(); render_triangle_png(path); info(); type hints/docstrings",`help()` shows clear signatures,High,MVP,No,C1,Interface creep → keep spike surface tiny,
A,Headless & Determinism,A5,Determinism harness,Automate bitwise/quality checks and backend toggling,SHA-256 equality; SSIM≥0.999 fallback; honor WGPU_BACKEND,Two runs equal hashes; cross-backend SSIM≥0.999,High,MVP,No,A2,Backend differences → tolerate via SSIM,
A,Headless & Determinism,A6,Cross-backend runners,Exercise Metal/Vulkan/DX12 explicitly,Script(s) to force backend and run harness,All available backends on host pass criteria,Medium,MVP,No,A5,Unsupported backend → skip with clear message,
B,Terrain Pipeline,B1,Public API & validation,Define MVP Python→Rust contract for DEMs,"add_terrain(heightmap, spacing, exaggeration, colormap)",Invalid dtype/shape raises clear PyRuntimeError,High,MVP,No,C1,Strided arrays → require C-contig or copy once,
B,Terrain Pipeline,B10,PNG & NumPy outputs,Parity with spike outputs,"render_rgba()->np.uint8[H,W,4]; render_png(path); reuse readback buffer",1024² outputs correct shapes/dtypes,High,MVP,No,B9,Copy overhead → persistent buffer reuse,
B,Terrain Pipeline,B11,Tiled DEM pyramid & cache,Move from single tile to map-scale terrain,Quad-tree tiler; per-tile indexed grids; LRU tile cache,Streams a 16k×16k synthetic DEM without stalls; cache hits logged,High,Beyond MVP,No,"B3,B4,B9",Cache thrash → prefetch based on camera motion,
B,Terrain Pipeline,B12,Screen-space error LOD + frustum culling,Keep triangles per pixel roughly constant,SSE metric; per-tile LOD selection; cull outside frustum,Stable seams; triangle count scales with zoom; perf improves vs fixed LOD,High,Beyond MVP,No,B11,LOD popping → cross-fade or geom morph later,
B,Terrain Pipeline,B13,Slope/aspect derived maps,Enable analytic styling and overlays,CPU prepass to compute slope & aspect per tile; expose uniforms for styling,Visual check: slopes/aspects match analytic expectations on synthetic hills,High,Beyond MVP,No,B11,Numeric noise → smoothing kernel optional,
B,Terrain Pipeline,B14,Contour line generation overlay,Classic cartographic overlay for DEMs,CPU iso-line extraction per tile; draw via AA lines pipeline,Contours match CPU reference within tolerance; togglable levels,High,Beyond MVP,No,"B11,H8",Busy visuals → level spacing presets,
B,Terrain Pipeline,B15,Memory governor (≤512 MiB host-visible),Honor host-visible budget while streaming terrain,Soft cap with eviction; counters visible via metrics,Sustained runs never exceed cap; no hitches during eviction,High,Beyond MVP,No,"M5,B11",Eviction churn → hysteresis thresholds,
B,Terrain Pipeline,B16,Terrain FS lighting: point & spot (Lambert + optional specular),Extend terrain shading beyond directional sun to support point and spot lights with cosine-based cone and optional Blinn-Phong specular.,"FS computes surfaceToLightDirection = normalize(light.position - worldPos). Point falloff: optional inverse-square with range clamp. Spot: inLight = smoothstep(cosOuter, cosInner, dot(surfaceToLightDirection, -light.direction)); diffuse += inLight * max(dot(normal, surfaceToLightDirection), 0). Optional specular via half-vector and shininess uniform. Add per-light enable flags; accumulate up to N lights; clamp to linear workflow (pre-tonemap).","Golden tests: (1) single point light centered, (2) spotlight with inner/outer cones. Visuals match CPU reference renders within SSIM ≥ 0.99; no NaNs when cones degenerate (guarded).",High,Beyond MVP,No,"B6,B7,B8,D3,C8",Low; test with goldens,
B,Terrain Pipeline,B2,DEM stats & normalization,Provide sensible default ranges,Compute h_min/h_max (optionally pct clamp); set_height_range(),Overrides affect render,Medium,MVP,No,B1,Outliers → percentile clamp option,
