Workstream ID,Workstream Title,Task ID,Task Title,Rationale,Deliverables,Acceptance Criteria,Priority,Phase,Missing Features,Dependencies,Risks/Mitigations,Unnamed: 12
X,WebGPU Optional Features Gating & Abstractions,X1,Adapter/Device feature/limits gate (core-features-and-limits),Standardize feature/limit probing and device creation across backends; fail fast or route fallbacks.,Feature gate module; device request helper; unit tests with mocked adapters.,Device created only when requiredFeatures/requiredLimits satisfied; negative tests pass; CI matrix covers 3 vendors.,P0,0.2.0,core-features-and-limits; requiredLimits policy,C: Core Engine; G: Perf & Diagnostics,Feature creep; diverging browser/backends — mitigate with strict allowlist.
X,WebGPU Optional Features Gating & Abstractions,X2,Texture format tiers + viewFormats policy,"Adopt ""texture-formats-tier1/tier2"" and viewFormats for portability; prefer sRGB-capable formats.",Enum + policy map; tests proving fallback ordering.,Tier negotiation logged; renders identical across tier1/tier2 in goldens.,P1,0.2.0,texture-formats-tier1/2,L: Textures & Samplers,Mismatched formats across devices — add deterministic preference order.
X,WebGPU Optional Features Gating & Abstractions,X3,Depth formats: enable depth32float-stencil8,Single combined depth-stencil improves precision and simplifies passes.,Creation helpers; render/compute samples using the format.,Depth prepass & skybox pass run with depth32float-stencil8 when supported; fallback to depth24plus-stencil8.,P1,0.2.0,depth32float-stencil8,K: Skybox & Depth,Unsupported on some platforms — fallback path verified.
X,WebGPU Optional Features Gating & Abstractions,X4,Depth clip control toggle,Disable depth clipping for infinite-far projections & slicing volumes.,Pipeline primitive.unclippedDepth plumbing; camera API flag.,Visual parity with clipped mode; no validation errors when feature missing.,P2,0.3.0,depth-clip-control,D: Camera & Uniforms,Z-fighting — clamp depth bias & precision guards.
X,WebGPU Optional Features Gating & Abstractions,X5,Clip distances (user clip planes),Per-layer clipping in mapping (mask by polygon/extent; cross-section views).,WGSL enable clip_distances; per-pass uniforms for N planes.,Multiple user clip planes work with unit tests; goldens match CPU mask.,P1,0.3.0,clip-distances,T: Vector IO & Geometry,Spec/driver variance — limit to 1–4 planes with fallback shader masks.
X,WebGPU Optional Features Gating & Abstractions,X6,BGRA storage & float32 filterable/blendable policies,Compute post-processing and DEM resampling prefer BGRA storage & float32 linear filtering; blend float outputs when available.,Sampler/pipeline policies; capability matrix.,Passes choose optimal format at runtime; visual parity with fallback paths.,P1,0.3.0,bgra8unorm-storage; float32-filterable; float32-blendable,C: Core; L: Textures,Precision mismatch — add image SSIM/PSNR thresholds.
X,WebGPU Optional Features Gating & Abstractions,X7,RG11B10F renderable HDR path,Lightweight HDR target for tone-mapped output when rgba16f is costly.,Render target helpers; tone-map from RG11B10F to sRGB/PNG.,HDR goldens within ΔE2000 ≤ 2 vs rgba16f path.,P2,0.3.0,rg11b10ufloat-renderable,N: Advanced Rendering,Banding risk — add dithering.
X,WebGPU Optional Features Gating & Abstractions,X8,Primitive index in fragment stage,Per-primitive styling (triangle → original polygon id) for choropleths without per-vertex duplication.,Enable primitive_index; storage lookups by primitive id; examples.,Vector choropleth matches CPU pipeline labels for ≥99.9% triangles.,P1,0.3.0,primitive-index,H: Vector & Graph; T: Vector IO,Not available everywhere — fallback to per-vertex ids.
X,WebGPU Optional Features Gating & Abstractions,X9,Indirect first instance,Advanced batching where firstInstance varies across draws (graphs/markers).,Indirect draw utilities; tests.,Draws execute with non-zero firstInstance; perf > single-draw by ≥15% on large batches.,P2,0.4.0,indirect-first-instance,H: Vector & Graph,Driver regressions — feature gate and A/B perf tests.
Y,Compression & Streaming v2 (ASTC/ETC2/BC3D),Y1,ASTC & ETC2 ingest + transcode pipeline,Mobile GPUs benefit from ASTC/ETC2; reduce VRAM & bandwidth for basemaps/rasters.,Offline transcoders (basisu/astcenc hooks); runtime loader; docs.,Textures load as compressed on mobile backends; memory < 60% vs uncompressed.,P0,0.2.0,texture-compression-astc; texture-compression-etc2,O: Compressed texture pipeline,Quality loss — per-layer PSNR gates & fallback to BC/sRGBA.
