frame,stream_ms,visible,upload_est,overlay_stream_ms,overlay_visible,overlay_upload_est,mlod_ms
0,2.0340420305728912,4096,64,2.1204999648034573,4096,64,
1,3.592040855437517,4096,64,1.6382909379899502,4096,64,
2,2.517166081815958,4096,64,1.6297500114887953,4096,64,
3,3.1674588099122047,4096,64,2.061957959085703,4096,64,
4,4.268707940354943,4096,64,2.3374578449875116,4096,64,
5,4.512041807174683,4096,64,3.0739170033484697,4096,64,
6,6.616417085751891,4096,64,3.0236251186579466,4096,64,
7,7.856750162318349,4096,64,6.345625035464764,4096,64,
8,35.6239581014961,4096,64,26.2858341448009,4096,64,
9,13.929832959547639,4096,64,9.167749900370836,4096,64,
10,14.007000019773841,4096,64,8.034209022298455,4096,64,
11,13.547584181651473,4096,64,7.4244169518351555,4096,64,
12,15.475333202630281,4096,64,8.759708143770695,4096,64,
13,19.1492501180619,4096,64,12.855416862294078,4096,64,
14,22.17966690659523,4096,64,14.057999942451715,4096,64,
15,22.223041160032153,4096,64,12.888208962976933,4096,64,
16,22.724209120497108,4096,64,18.624833086505532,4096,64,
17,3.0301660299301147,4096,64,19.17874999344349,4096,64,
18,3.0226660892367363,4096,64,16.748083056882024,4096,64,
19,3.0514169484376907,4096,64,15.755207976326346,4096,64,
20,3.316916059702635,4096,64,4.913624841719866,4096,64,
21,2.891666954383254,4096,64,2.5901668705046177,4096,64,
22,2.689250046387315,4096,64,3.2912499736994505,4096,64,
23,2.8026660438627005,4096,64,2.5962498039007187,4096,64,
24,2.9236660338938236,4096,64,2.5435411371290684,4096,64,
25,2.721708035096526,4096,64,3.6429159808903933,4096,64,
26,2.678292104974389,4096,64,2.484917175024748,4096,64,
27,2.662333194166422,4096,64,2.4661249481141567,4096,64,
28,3.93362483009696,4096,64,2.6280838064849377,4096,64,
29,2.7224579825997353,4096,64,2.496083965525031,4096,64,
30,2.648209221661091,4096,64,2.4175418075174093,4096,64,
31,3.35133308544755,4096,64,2.5545840617269278,4096,64,
32,2.8578750789165497,4096,64,2.4973340332508087,4096,64,
33,2.6997909881174564,4096,64,2.3965828586369753,4096,64,
34,3.5187499597668648,4096,64,2.5690828915685415,4096,64,
35,2.586500020697713,4096,64,2.4732500314712524,4096,64,
36,2.778582973405719,4096,64,2.6640421710908413,4096,64,
37,2.9720410238951445,4096,64,2.5125830434262753,4096,64,
38,2.622499829158187,4096,64,2.490416867658496,4096,64,
39,2.5949578266590834,4096,64,3.379290923476219,4096,64,
40,2.962500089779496,4096,64,2.6168341282755136,4096,64,
